Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
572,Victim:UA/AS 41009 (VIZITNETUA-AS)<br> Attacker:MD/AS 208317 (SF-digitalservices),208317,Low Possibility,[object Object],3493590,1763809476990,Possible Hijack,80.71.158.0/24,19.23,low,,80.71.158.0/24,1,1763805983400,41009
573,Victim:RU/AS 216341 (OPTIMA-AS)<br> Attacker:US/AS 209372 (WSTelecom_Customers),209372,Low Possibility,[object Object],43568350,1765819569310,Possible Hijack,88.214.50.0/24,98.06,low,,88.214.50.0/24,1,1765776000960,216341
574,Victim:/AS 402061 ()<br> Attacker:US/AS 40676 (AS40676),40676,No Result,[object Object],3340020,1767797266880,Possible Hijack,104.234.177.0/24,79.57,low,,104.234.177.0/24,1,1767793926860,402061
575,Victim:MD/AS 211180 (OKLAKO)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],89770140,1767948784280,Possible Hijack,152.89.195.0/24,89.42,low,,152.89.195.0/24,1,1767859014140,211180
576,Victim:US/AS 21840 (SAGO NET)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],109623290,1764094033460,Possible Hijack,213.210.28.0/24,91.57,low,,213.210.28.0/24;62.72.168.0/24,2,1763984410170,21840
577,Victim:US/AS 7029 (WINDSTREAM)<br> Attacker:/AS 215265 (HUXIAOYOU),215265,Not done,[object Object],103215490,1766932892570,Possible Hijack,2a09:54c4::/32,97.53,low,,2a09:54c4::/32;2a0f:6282::/32;2a0f:6282::/32,3,1766829677080,7029
578,Victim:BR/AS 263085 (Unknown)<br> Attacker:BR/AS 271163 (Unknown),271163,Low Possibility,[object Object],86706330,1763570647720,Possible Hijack,200.233.38.0/24,80,low,,200.233.38.0/24;200.233.36.0/23;200.233.38.0/23;200.233.38.0/23;200.233.38.0/24,5,1763483941390,263085
579,Victim:BR/AS 270382 (Unknown)<br> Attacker:BR/AS 262675 (Unknown),262675,Low Possibility,[object Object],170662830,1760213697930,Possible Hijack,190.111.131.0/24,88.66,middle,270382 is Cloud|IDC|CDN or top content provider.,190.111.131.0/24,1,1760043035100,270382
580,Victim:US/AS 53533 (ENTRA-3)<br> Attacker:US/AS 18731 (CITYSIDE-01),18731,Not Hijacking,[object Object],206200,1764618257430,Possible Hijack,128.177.138.0/24,97.44,low,,128.177.138.0/24,1,1764618051230,53533
581,Victim:BR/AS 14571 ()<br> Attacker:US/AS 29987 (SINFONY6),29987,Low Possibility,[object Object],149150,1760038629960,Possible Hijack,187.31.0.0/16,34.85,middle,3 websites in the prefix.,187.31.0.0/16,1,1760038480810,14571
582,Victim:US/AS 401322 (LUCK-NETO-01)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],25637750,1767104869740,Possible Hijack,163.5.47.0/24,3.77,low,,163.5.47.0/24;163.5.47.0/24,2,1767079231990,401322
583,Victim:GB/AS 215590 (DPKGSOFT-AS)<br> Attacker:RU/AS 5431 (FG-CORE),5431,Low Possibility,[object Object],160369670,1759514579190,Possible Hijack,147.45.66.0/24,96.88,middle,3 websites in the prefix.,147.45.66.0/24;185.103.103.0/24;185.103.101.0/24;185.103.100.0/24;185.103.102.0/24;193.233.80.0/24;193.233.253.0/24;193.233.165.0/24;193.233.252.0/24;193.233.74.0/24;193.233.75.0/24;147.45.67.0/24,12,1759354209520,215590
584,Victim:FR/AS 207769 (FiveHost-Telecom)<br> Attacker:US/AS 36231 (TEMPEST-HOSTING),36231,No Result,[object Object],2014060,1758919172440,Possible Hijack,143.20.100.0/24,5,low,,143.20.100.0/24,1,1758917158380,207769
585,Victim:TR/AS 211560 (UGUR-OZTURK)<br> Attacker:TR/AS 42216 (Netviser),42216,High Possibility,[object Object],4502230,1765134288980,Possible Hijack,185.137.98.0/24,4,low,,185.137.98.0/24,1,1765129786750,211560
586,Victim:US/AS 174 (COGENT-174)<br> Attacker:DE/AS 198584 (PIO-Hosting),198584,Not done,[object Object],1889890,1761544493980,Possible Hijack,185.244.104.0/24,10.14,low,,185.244.104.0/24,1,1761542604090,174
587,Victim:ZA/AS 328608 (Africa-on-Cloud-AS)<br> Attacker:GE/AS 50053 (ANTON-LEVIN-AS),50053,High Possibility,[object Object],4243811920,1769427383750,Possible Hijack,156.253.220.0/24,8.2,low,,156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24;156.253.220.0/24,9,1765183571830,328608
588,Victim:HK/AS 4515 (PCCW-AS-AP)<br> Attacker:US/AS 10753 (LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE),10753,Not Hijacking,[object Object],3710430,1766844213230,Possible Hijack,38.248.20.0/23,88.46,middle,4515 is Cloud|IDC|CDN or top content provider.,38.248.20.0/23,1,1766840502800,4515
589,Victim:US/AS 62816 (OWS)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],19646030,1763981373060,Possible Hijack,82.153.227.0/24,86.25,low,,82.153.227.0/24;83.147.23.0/24,2,1763961727030,62816
590,Victim:HK/AS 135391 (AOFEI-HK)<br> Attacker:US/AS 834 (IPXO),834,Low Possibility,[object Object],2226139440,1763363716670,Possible Hijack,188.255.196.0/24,96.43,middle,135391 is Cloud|IDC|CDN or top content provider.,188.255.196.0/24;185.58.23.0/24;141.98.40.0/24;45.155.253.0/24,4,1761137577230,135391
591,Victim:IN/AS 203020 (HostRoyale)<br> Attacker:AL/AS 197706 (Keminet),197706,Not done,[object Object],237260,1762073543230,Possible Hijack,103.204.123.0/24,9.59,middle,203020 is Cloud|IDC|CDN or top content provider.,103.204.123.0/24,1,1762073305970,203020
592,Victim:UA/AS 48031 (XServerCloud)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],41398180,1760670750420,Possible Hijack,89.187.13.0/24,93.48,middle,48031 is Cloud|IDC|CDN or top content provider.,89.187.13.0/24,1,1760629352240,48031
593,Victim:AE/AS 209043 (IPRoyal)<br> Attacker:US/AS 834 (IPXO),834,No Result,[object Object],59475930,1763009571260,Possible Hijack,89.213.115.0/24,96.51,low,,89.213.115.0/24,1,1762950095330,209043
594,Victim:TR/AS 211851 (WEB9-YAZILIM-BILISIM-HIZMETLERI)<br> Attacker:US/AS 834 (IPXO),834,Low Possibility,[object Object],9417260,1759438848730,Possible Hijack,45.157.16.0/24,84.54,middle,5 websites in the prefix.,45.157.16.0/24,1,1759429431470,211851
595,Victim:/AS 214987 ()<br> Attacker:HK/AS 9304 (HUTCHISON-AS-AP),9304,High Possibility,[object Object],888459570,1765924633320,Possible Hijack,151.243.142.0/24,3.33,low,,151.243.142.0/24;151.243.142.0/24;151.243.142.0/24,3,1765036173750,214987
596,Victim:GB/AS 215590 (DPKGSOFT-AS)<br> Attacker:US/AS 401152 (ADCIL-ASN-01),401152,Not done,[object Object],31030290,1762811768150,Possible Hijack,136.0.133.0/24,91.18,low,,136.0.133.0/24,1,1762780737860,215590
597,Victim:KW/AS 29029 (KNPC-AS)<br> Attacker:SG/AS 139341 (ACE-AS-AP),139341,No Result,[object Object],9104950,1759238611110,Possible Hijack,193.188.56.0/24,31.58,low,,193.188.56.0/24,1,1759229506160,29029
598,Victim:ZA/AS 37121 (ESKOM-HOLDINGS-SOC-LTD)<br> Attacker:ZA/AS 16637 (MTNNS-AS),16637,Low Possibility,[object Object],887900,1765471365640,Possible Hijack,147.110.0.0/16,8.22,low,,147.110.0.0/16,1,1765470477740,37121
599,Victim:NL/AS 211750 (MC-NODE-AS)<br> Attacker:US/AS 834 (IPXO),834,Low Possibility,[object Object],67564820,1764658033900,Possible Hijack,89.213.210.0/24,87.61,low,,89.213.210.0/24,1,1764590469080,211750
600,Victim:BR/AS 262287 ()<br> Attacker:US/AS 213541 (ws-telecom-sdn),213541,No Result,[object Object],63249380,1766744764590,Possible Hijack,193.221.214.0/24,30.3,middle,262287 is Cloud|IDC|CDN or top content provider.,193.221.214.0/24;185.88.96.0/23;185.105.44.0/23;185.71.212.0/23;185.168.210.0/23;185.182.128.0/23;185.71.144.0/23;185.79.78.0/24;185.79.76.0/23;185.180.110.0/23;193.221.212.0/23,11,1766681515210,262287
